imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,poster_path,wiki_link,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
tt2929690,Margarita with a Straw,Margarita with a Straw,0,2014,100,Drama,https://upload.wikimedia.org/wikipedia/en/d/d6/Margarita_with_a_Straw_poster.jpg,https://en.wikipedia.org/wiki/Margarita_with_a_Straw,7.2,3045,***SPOILERS ALERT!!*** Laila is a teenager with cerebral palsy  studying at Delhi University. She is an aspiring writer and also composes music for an indie band at the university. Laila develops feelings for the lead singer  but is heartbroken when she is rejected. Moving on from the experience  Laila is overjoyed to receive a scholarship for a semester's study at New York University. Despite her father's reservations  she moves to Greenwich Village  Manhattan with her orthodox Maharashtrian mother Shubhangini. Laila meets an attractive young man named Jared  who is assigned to help her in the creative writing class. She also meets a young activist  Khanum (Gupta)  a blind girl of Pakistani-Bangladeshi descent  with whom she falls in love. Laila is enamored by Khanum's fiercely independent personality and her positive perspective towards her own disability. The two spend most of their time together  filling in as each other's caregivers. Laila becomes confused about her sexual ...,A rebellious young woman with cerebral palsy leaves her home in India to study in New York  unexpectedly falls in love  and embarks on an exhilarating journey of self-discovery.,NA,Kalki Koechlin|Revathy|Sayani Gupta|Hussain Dalal|Tenzing Dalha|Kuljeet Singh|Malhar Khushu|William Moseley|Jose Rivera|Shuchi Dwivedi|Doug Plaut|Jennifer Silverstein|Jacob Berger|Marco Torriani|,11 wins & 10 nominations,14 June 2016 (USA)
tt2609218,Ragini MMS 2,Ragini MMS 2,0,2014,119,Horror,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Ragini_MMS_2_Poster.jpg/220px-Ragini_MMS_2_Poster.jpg,https://en.wikipedia.org/wiki/Ragini_MMS_2,3.8,2521,NA,NA,NA,NA,NA,NA
tt5943306,Freaky Ali,Freaky Ali,0,2016,120,Comedy|Sport,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Freaky_Ali.jpg/220px-Freaky_Ali.jpg,https://en.wikipedia.org/wiki/Freaky_Ali,4.9,2373,Nawazuddin Siddiqui (Ali ) plays a character of an extortion debt collector for the local goon along with Arbaaz Khan (Maqsood ). His fate turns when one day he and Arbaaz goes to a golf course to collect extortion  after waiting for many hours for a man to give him money. Nawazuddin's character confronts the man who tells him to wait while he finishes the hole .This is where Nawazuddin's character challenges him saying it to be easy  The man asks Nawazuddin to show it  Nawazuddin putts the ball in just one ace for he has a gifted natural swing  This not only surprises the man but his caddie as well who knows Nawazuddin. What follows is an inspiration story of a simple extortion debt collector to a golfing sensation  and along the way of him becoming a champion  Nawazuddin's character beats all odds and meets his dream girl played by Amy Jackson,A debt collector becomes a golfing sensation.,NA,Nawazuddin Siddiqui|Arbaaz Khan|Amy Jackson|Asif Basra|,1 nomination,9 September 2016 (USA)
tt9248972,Mission Mangal,Mission Mangal,0,2019,130,Drama|History,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Mission_Mangal.jpg/220px-Mission_Mangal.jpg,https://en.wikipedia.org/wiki/Mission_Mangal,6.5,7165,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.,This Independence Day...The Sky is Not the Limit,Akshay Kumar|Vidya Balan|Nithya Menon|Taapsee Pannu|Sonakshi Sinha|Kirti Kulhari|H.G. Dattatreya|Sharman Joshi|Sanjay Kapoor|Dalip Tahil|Vikram Gokhale|Mohammed Zeeshan Ayyub|Purab Kohli|,NA,15 August 2019 (USA)
tt2243336,Aalaap,Aalaap,0,2012,116,Sci-Fi,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/AALAAP.jpg/220px-AALAAP.jpg,https://en.wikipedia.org/wiki/Aalaap_(film),5.8,23,Artdirector Md asdulla khan,Artdirector Md asdulla khan,NA,Omkar Das Manikpuri|Pitobash|Amit Purohit|Vijay Raaz|Harsh Rajput|Rituparna Sengupta|Aabid Shamim|Murli Sharma|Abhimanyu Singh|Gamya Wijayadasa|,NA,27 July 2012 (India)
tt2963974,M Cream,M Cream,0,2014,112,Adventure|Comedy|Drama,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/MCR_Theatrical_Poster.jpg/220px-MCR_Theatrical_Poster.jpg,https://en.wikipedia.org/wiki/M_Cream,5.7,590,FIGS is the typical cynic one finds lurking in the expansive lawns of Delhi University. Entangled in a web of drugged out delirium  he's the quintessential rebel. His world is thrown into disarray when his conservative parents begin to chalk out a strategy for his future. Things only become worse when a sudden scarcity of hash deprives Figs of his favorite pastime. Unable to cope with the situation  Figs joins forces with his best friend MAGGIE on a quest to attain M Cream  a mythical form of hash. They hastily devise a plan to trek to the far reaches of the Himalayas in pursuit of this goal. Maggie ropes in her boyfriend NIZ  who's purportedly headed to the hills on a photo assignment. Unbeknownst to Figs  the trio is joined by JAY  a close friend of Niz. Chaos ensues as the reckless travelers journey across the Himalayan expanse. The road trip results in a series of unexpected encounters that begin to unravel the myriad realities of rebellion. Difficult choices are made and ...,A motley crew of university students set out on a journey in pursuit of a mythical form of hash  confronting a series of encounters that begin to unravel the myriad realities of rebellion.,NA,Tom Alter|Raaghav Chanana|Ira Dubey|Lushin Dubey|Auritra Ghosh|Rahil Gilani|Barry John|Santosh Ojha|Beatrice Ordeix|Lili Rocha|Imaaduddin Shah|,4 wins,22 July 2016 (India)
tt3398052,Invitation of Love,Daawat-e-Ishq,0,2014,118,Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Daawat-e-ishq_poster.jpg/220px-Daawat-e-ishq_poster.jpg,https://en.wikipedia.org/wiki/Daawat-E-Ishq,6.1,5103,NA,NA,NA,NA,NA,NA
tt6926486,Daddy,Daddy,0,2017,134,Action|Biography|Crime,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Daddy_Film_Poster.jpg/220px-Daddy_Film_Poster.jpg,https://en.wikipedia.org/wiki/Daddy_(2017_film),6.3,1369,Daddy is an upcoming Indian political crime drama film co-written and directed by Ashim Ahluwalia. The film stars Arjun Rampal  who also co-wrote the film  portraying gangster-turned-politician Arun Gawli. The official teaser of the film was released on December 1  2016.,"From the rough streets and back alleys of Central Mumbai comes the sensational true story of Arun Gawli  a man who scripted his own destiny  eventually going on to become one of India's most feared gangsters. Today he remains an enigmatic figure; at once a volatile  power-hungry criminal for some and the respected ""Daddy"" or a modern day Robin Hood for the working-class neighborhood he belongs to...",NA,Arjun Rampal|Aishwarya Rajesh|Nishikant Kamat|Rajesh Shringarpore|Purnanand Wandekar|Anupriya Goenka|Shruti Bapna|Usha Naik|Shrikant Yadav|Deepak Damle|Raj Arjun|Vijay Sanap|Abhimanue Arun|,1 win & 6 nominations,8 September 2017 (USA)
tt2976176,Lakshmi,Lakshmi,0,2014,115,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Nagesh_Kunkunoor_Lakshmi_Film_Movie_Poster.jpg/220px-Nagesh_Kunkunoor_Lakshmi_Film_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Lakshmi_(2014_film),8,1240,NA,NA,NA,NA,NA,NA
tt8291224,Uri: The Surgical Strike,Uri: The Surgical Strike,0,2019,138,Action|Drama|War,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/URI_-_New_poster.jpg/220px-URI_-_New_poster.jpg,https://en.wikipedia.org/wiki/Uri:_The_Surgical_Strike,8.4,35112,Divided over five chapters  the film chronicles the events of the surgical strike conducted by the Indian military against suspected militants in Pakistan occupied Kashmir. It tells the story of the 11 tumultuous events over which the operation was carried out. Indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group.,Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.,NA,Vicky Kaushal|Paresh Rawal|Mohit Raina|Yami Gautam|Kirti Kulhari|Rajit Kapoor|Ivan Rodrigues|Manasi Parekh|Swaroop Sampat|Riva Arora|Yogesh Soman|Fareed Ahmed|Akashdeep Arora|Kallol Banerjee|,4 wins,11 January 2019 (USA)
